Year,Quarter,지역,지역별 분기별 평균 강수량 (mm)
2016,1,영주,1.0
2016,1,영천,1.27
2016,1,완도,2.27
2016,1,울릉도,3.46
2016,1,울산,1.93
2016,1,울진,0.88
2016,1,원주,0.92
2016,1,의령군,2.07
2016,1,의성,0.83
2016,1,이천,1.25
2016,1,인제,0.91
2016,1,인천,0.99
2016,1,임실,1.53
2016,1,장수,1.71
2016,1,장흥,2.14
2016,1,전주,1.36
2016,1,정선군,1.07
2016,1,정읍,1.87
2016,1,제주,2.88
2016,1,제천,1.04
2016,1,진도군,2.35
2016,1,진주,2.56
2016,1,창원,2.15
2016,1,천안,0.75
2016,1,철원,1.1
2016,1,청송군,0.8
2016,1,청주,0.71
2016,1,추풍령,1.22
2016,1,춘천,1.15
2016,1,충주,0.7
2016,1,태백,0.8
2016,1,통영,3.26
2016,1,파주,1.37
2016,1,포항,1.44
2016,1,함양군,1.31
2016,1,합천,1.65
2016,1,해남,1.91
2016,1,홍성,0.88
2016,1,홍천,0.83
2016,1,흑산도,1.13
2016,2,강릉,1.62
2016,2,강진군,6.0
2016,2,강화,3.34
2016,2,거제,6.56
2016,2,거창,3.06
2016,2,경주시,2.76
2016,2,고산,5.6
2016,2,고산(제주),5.32
2016,2,고창,3.92
2016,2,고창군,4.2
2016,2,고흥,5.61
2016,2,광양시,5.54
2016,2,광주,4.46
2016,2,구미,2.77
2016,2,군산,3.37
2016,2,금산,3.62
2016,2,김해시,4.56
2016,2,남원,3.68
2016,2,남해,8.51
2016,2,대관령,2.15
2016,2,대구,2.88
2016,2,대전,3.32
2016,2,동두천,2.94
2016,2,동해,1.19
2016,2,목포,4.9
2016,2,문경,3.19
2016,2,밀양,4.25
2016,2,백령도,2.4
2016,2,보령,3.03
2016,2,보성군,5.86
2016,2,보은,3.15
2016,2,봉화,2.49
2016,2,부산,4.64
2016,2,부안,3.53
2016,2,부여,3.69
2016,2,북강릉,1.86
2016,2,북창원,6.2
2016,2,산청,4.59
2016,2,상주,2.9
2016,2,서귀포,8.02
2016,2,서산,3.05
2016,2,서울,3.21
2016,2,성산,8.06
2016,2,속초,1.93
2016,2,수원,3.0
2016,2,순창군,4.27
2016,2,순천,5.06
2016,2,안동,2.43
2016,2,양산시,5.53
2016,2,양평,2.57
2016,2,여수,6.46
2016,2,영광군,4.32
2016,2,영덕,2.66
2016,2,영월,1.99
2016,2,영주,3.57
2016,2,영천,3.15
2016,2,완도,5.7
2016,2,울릉도,2.52
2016,2,울산,3.69
2016,2,울진,1.84
2016,2,원주,2.14
2016,2,의령군,4.4
2016,2,의성,2.78
2016,2,이천,2.24
2016,2,인제,2.56
2016,2,인천,2.73
2016,2,임실,3.98
2016,2,장수,3.9
2016,2,장흥,5.47
2016,2,전주,3.56
2016,2,정선군,2.28
2016,2,정읍,3.91
2016,2,제주,4.36
