지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
울산,2017,2,28.7,54.3,0.0077,0.0407,0.0233,0.5333
울산,2017,3,21.7,34.7,0.0067,0.03,0.016,0.5333
울산,2017,4,21.3,37.7,0.004,0.0237,0.023,0.6
울산,2018,1,25.0,42.3,0.005,0.0287,0.0237,0.6
울산,2018,2,26.3,50.3,0.0073,0.0347,0.02,0.5
울산,2018,3,19.0,30.0,0.0063,0.0273,0.0143,0.4667
울산,2018,4,22.3,37.7,0.004,0.023,0.0223,0.5333
울산,2019,1,27.0,46.7,0.0043,0.0313,0.0227,0.5667
울산,2019,2,22.3,41.0,0.0067,0.0407,0.0213,0.5
울산,2019,3,16.7,28.0,0.0057,0.028,0.015,0.4333
울산,2019,4,15.3,31.3,0.004,0.024,0.021,0.4667
울산,2020,1,18.3,31.7,0.004,0.0293,0.02,0.5333
울산,2020,2,18.3,34.7,0.005,0.041,0.0163,0.4
울산,2020,3,14.3,24.3,0.0037,0.0293,0.014,0.4667
울산,2020,4,17.0,30.3,0.003,0.0277,0.0207,0.5
울산,2021,1,19.3,41.3,0.0037,0.0323,0.021,0.4667
울산,2021,2,16.7,33.3,0.004,0.041,0.017,0.4
울산,2021,3,9.7,17.7,0.0027,0.0307,0.0123,0.4
울산,2021,4,15.3,27.7,0.003,0.028,0.019,0.4
울산,2022,1,18.7,32.3,0.003,0.034,0.0197,0.4
울산,2022,2,15.7,29.7,0.004,0.043,0.016,0.4
울산,2022,3,12.7,22.7,0.0033,0.0317,0.013,0.4
울산,2022,4,16.3,30.3,0.003,0.0287,0.0173,0.4667
울산,2023,1,22.3,43.3,0.0033,0.0325,0.0197,0.51
울산,2023,2,19.3,42.7,0.0037,0.0412,0.0151,0.44
울산,2023,3,14.0,22.7,0.0038,0.0289,0.0127,0.4433
울산,2023,4,15.7,28.7,0.0028,0.0302,0.0171,0.4733
울산,2024,1,15.7,30.3,0.0029,0.0339,0.0163,0.4567
울산,2024,2,19.7,42.0,0.004,0.0409,0.0176,0.42
