연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-3분기,창원,29.1,22.2,25.2,1.9,10.1,0.0,75.0,6.9
2012-3분기,천안,29.0,20.4,24.2,1.8,10.1,0.0,78.5,8.7
2012-3분기,철원,27.2,18.2,22.4,1.9,8.8,0.0,81.2,9.0
2012-3분기,청송군,28.3,18.2,22.4,1.0,7.3,0.0,78.7,10.1
2012-3분기,청주,29.3,21.3,24.9,1.6,9.8,0.0,74.6,8.0
2012-3분기,추풍령,27.4,19.0,22.7,2.2,10.9,0.0,79.6,8.4
2012-3분기,춘천,28.0,19.6,23.4,1.3,8.5,0.0,80.3,8.4
2012-3분기,충주,28.9,20.1,24.0,1.5,9.2,0.0,76.6,8.8
2012-3분기,태백,25.4,16.1,20.1,1.8,11.5,0.0,80.0,9.3
2012-3분기,통영,27.6,21.6,24.2,2.5,8.8,0.0,80.1,6.0
2012-3분기,파주,28.9,19.7,23.6,1.5,10.7,0.0,85.3,9.2
2012-3분기,포항,28.4,22.0,22.2,1.9,8.6,0.0,79.5,6.4
2012-3분기,함양군,29.1,19.5,23.5,0.9,12.0,0.0,85.7,9.6
2012-3분기,합천,30.2,20.6,24.8,1.3,13.8,0.0,74.9,9.6
2012-3분기,해남,29.0,20.9,24.6,2.3,11.2,0.0,83.9,8.0
2012-3분기,해남군,28.6,20.4,23.8,1.2,0.0,0.0,76.9,8.2
2012-3분기,홍천,29.1,19.3,23.4,1.3,9.1,0.0,75.6,9.8
2012-3분기,흑산도,26.9,21.9,23.9,4.4,10.9,0.0,89.0,5.0
2012-4분기,강릉,12.5,3.9,7.8,2.9,0.9,0.0,49.4,8.6
2012-4분기,강진군,13.4,3.1,8.1,2.9,2.0,0.2,66.0,10.4
2012-4분기,강화,9.2,-0.6,4.4,1.8,2.3,0.0,69.4,9.8
2012-4분기,거제,14.2,5.5,9.6,1.8,3.3,0.0,59.1,8.7
2012-4분기,거창,11.9,-1.1,4.9,1.7,1.6,0.4,69.0,13.0
2012-4분기,경주시,13.0,0.9,6.6,2.7,1.4,0.2,60.7,12.1
2012-4분기,고산,11.6,3.9,6.9,5.1,2.5,0.3,73.8,7.7
2012-4분기,고산(제주),15.1,9.9,12.5,7.9,2.2,0.0,58.2,5.2
2012-4분기,고창,12.8,3.0,7.8,3.0,1.8,0.6,80.5,9.9
2012-4분기,고창군,12.7,2.7,7.5,1.9,2.1,0.5,68.6,10.0
2012-4분기,고흥,14.2,3.2,8.6,2.1,2.0,0.0,66.7,11.0
2012-4분기,광양시,15.9,6.2,10.6,2.1,1.9,0.0,58.5,9.7
2012-4분기,광주,13.4,3.9,8.1,2.0,2.3,0.4,65.8,9.5
2012-4분기,구미,11.7,0.9,5.9,1.7,1.4,0.0,65.7,10.8
2012-4분기,군산,11.2,2.5,6.7,2.3,1.9,0.3,76.1,8.7
2012-4분기,금산,11.3,-1.7,4.1,1.1,1.7,0.0,72.0,13.0
2012-4분기,김해시,14.3,4.5,8.9,2.3,2.2,0.1,52.5,9.8
2012-4분기,남원,12.4,-0.8,5.3,1.5,1.8,0.0,70.7,13.1
2012-4분기,남해,13.8,4.7,8.9,1.4,2.4,0.0,59.9,9.0
2012-4분기,대관령,6.0,-5.2,0.5,3.8,1.3,0.6,70.9,11.2
2012-4분기,대구,13.1,3.5,7.9,2.0,1.2,0.2,54.1,9.6
2012-4분기,대전,11.1,1.2,5.8,1.5,2.2,0.4,74.3,10.0
2012-4분기,동두천,10.6,-0.7,4.4,1.5,2.2,0.0,66.7,11.2
2012-4분기,동해,12.6,3.6,8.0,2.8,0.7,0.0,52.4,9.0
2012-4분기,목포,12.8,5.3,8.7,3.6,2.1,0.4,76.0,7.4
2012-4분기,문경,10.9,-0.3,4.8,2.0,1.8,0.0,59.6,11.3
2012-4분기,밀양,14.2,1.2,7.2,1.3,1.6,0.0,61.5,13.0
2012-4분기,백령도,8.9,4.1,6.3,4.9,2.1,0.4,64.7,4.8
2012-4분기,보령,11.5,2.8,6.9,2.0,2.1,0.3,69.1,8.7
2012-4분기,보성군,13.7,3.4,8.4,3.1,2.1,0.2,66.8,10.3
2012-4분기,보은,10.5,-2.0,3.7,1.4,2.3,0.0,71.7,12.5
2012-4분기,봉화,9.4,-4.0,2.3,1.4,1.2,0.0,72.2,13.3
2012-4분기,부산,14.9,6.6,10.3,3.1,4.3,0.0,49.7,8.3
2012-4분기,부안,12.0,2.2,6.9,1.7,1.9,0.0,70.5,9.8
2012-4분기,부여,11.4,-0.0,5.2,1.2,2.2,0.0,73.9,11.4
